City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,hofn,100,IS,1573517465,73,64.25,-15.21,41.76,24.96
88,darhan,100,MN,1573517465,58,49.49,105.92,8.98,15.14
89,narsaq,89,GL,1573517465,84,60.91,-46.05,32.0,16.11
90,hilo,40,US,1573517465,58,19.71,-155.08,86.0,9.17
91,tocopilla,99,CL,1573517465,37,-22.09,-70.2,57.04,1.39
92,zhezkazgan,6,KZ,1573517465,29,47.8,67.71,25.59,6.17
93,blind river,40,CA,1573517465,57,46.19,-82.96,21.2,5.82
94,shingu,20,JP,1573517465,67,33.72,135.99,62.6,11.41
95,cabo san lucas,90,MX,1573517378,83,22.89,-109.91,77.0,4.7
96,fort nelson,75,CA,1573517465,78,58.81,-122.69,10.4,3.36
97,sinegorye,97,RU,1573517465,97,62.09,150.53,-0.3,0.98
98,ponta do sol,92,BR,1573517466,86,-20.63,-46.0,70.03,5.68
99,kavaratti,35,IN,1573517466,72,10.57,72.64,81.39,4.7
100,nelson bay,0,AU,1573517466,23,-32.72,152.14,89.01,9.17
101,sumbe,99,AO,1573517466,89,-11.2,13.84,77.43,3.0
102,jaguaruna,91,BR,1573517466,94,-28.62,-49.03,62.74,2.24
103,san cristobal,33,HN,1573517466,86,14.68,-86.92,68.95,2.68
104,udachnyy,17,RU,1573517466,73,66.42,112.4,-29.21,4.47
105,khovu-aksy,58,RU,1573517466,79,51.13,93.72,-7.48,0.85
106,chokurdakh,100,RU,1573517466,95,70.62,147.9,6.51,3.62
107,kruisfontein,100,ZA,1573517466,86,-34.0,24.73,64.89,12.03
108,north bend,1,US,1573517466,82,43.41,-124.22,63.0,8.05
109,paamiut,97,GL,1573517466,75,61.99,-49.67,30.06,5.14
110,usinsk,1,RU,1573517466,95,66.0,57.56,-6.17,9.64
111,druskininkai,52,LT,1573517466,94,54.02,23.98,37.11,4.79
112,mar del plata,0,AR,1573517466,72,-46.43,-67.52,56.68,12.44
113,tasiilaq,96,GL,1573517466,69,65.61,-37.64,39.2,32.21
114,nyurba,76,RU,1573517467,94,63.29,118.35,-16.52,4.27
115,hokitika,46,NZ,1573517467,77,-42.72,170.96,54.91,9.06
